"OrderNumber","SalesChannelTxt","SalesChannel","WarehouseCode","Warehouse","ProcuredDate","OrderDate","StockTime","ShipDate","ProcessingTime","DeliveryDate","ShippingTime","CurrencyCode","SalesTeamID","CustomerID","StoreID","ProductID","Order Quantity","Discount Applied","Unit Cost","Unit Price"
"SO - 0004921","In-Store",1,"WARE-NBV1002",2,"23/08/19","27/12/19",126,"19/01/20",23,"27/01/20",8,"USD",10,27,59,15,7,0.08,126.43,247.9
"SO - 0007638","Distributor",3,"WARE-PUJ1005",5,"18/06/20",07/11/20,142,09/11/20,2,"13/11/20",4,"USD",22,47,306,42,5,0.05,668.06,"1,132.30"
"SO - 0002550","Online",2,"WARE-NMK1003",3,"27/10/18","14/03/19",138,02/04/19,19,05/04/19,3,"USD",13,31,178,22,6,0.1,664.64,"1,038.50"
"SO - 0003962","Distributor",3,"WARE-MKL1006",6,"15/05/19","29/08/19",106,03/09/19,5,05/09/19,2,"USD",22,19,356,31,4,0.1,89.31,207.7
"SO - 0004363","In-Store",1,"WARE-NMK1003",3,"15/05/19","20/10/19",158,03/11/19,14,04/11/19,1,"USD",12,18,88,33,2,0.08,"1,733.63","2,311.50"
"SO - 0001897","In-Store",1,"WARE-MKL1006",6,"27/10/18","29/12/18",63,"21/01/19",23,"28/01/19",7,"USD",6,36,336,5,2,0.05,"2,341.25","3,001.60"
"SO - 000243","In-Store",1,"WARE-NMK1003",3,10/04/18,"16/06/18",67,05/07/18,19,06/07/18,1,"USD",3,27,181,38,2,0.4,110.55,167.5
"SO - 000679","In-Store",1,"WARE-NMK1003",3,10/04/18,07/08/18,119,"23/08/18",16,"27/08/18",4,"USD",10,6,153,37,3,0.1,"2,006.78","3,859.20"
"SO - 000712","In-Store",1,"WARE-XYS1001",1,10/04/18,10/08/18,122,"23/08/18",13,02/09/18,10,"USD",7,28,23,19,3,0.05,133.67,234.5
"SO - 0007608","Wholesale",4,"WARE-PUJ1005",5,"26/09/20",03/11/20,38,"18/11/20",15,"22/11/20",4,"USD",25,11,294,21,2,0.05,691.31,"1,031.80"
"SO - 0007934","In-Store",1,"WARE-UHY1004",4,"18/06/20",12/12/20,177,"20/12/20",8,"30/12/20",10,"USD",4,19,214,26,6,0.05,"2,826.06","3,819.00"
"SO - 0002987","Online",2,"WARE-UHY1004",4,04/02/19,04/05/19,89,"26/05/19",22,"28/05/19",2,"USD",15,42,241,18,3,0.05,"2,464.46","3,678.30"
"SO - 0006718","In-Store",1,"WARE-MKL1006",6,10/03/20,"22/07/20",134,03/08/20,12,07/08/20,4,"USD",3,28,344,4,7,0.2,417.75,971.5
"SO - 0001692","Distributor",3,"WARE-UHY1004",4,"19/07/18",06/12/18,140,03/01/19,28,08/01/19,5,"USD",23,34,245,31,7,0.15,"4,507.43","6,009.90"
"SO - 0004325","In-Store",1,"WARE-PUJ1005",5,"15/05/19","15/10/19",153,"17/10/19",2,"23/10/19",6,"USD",5,40,290,36,6,0.08,783.23,"1,118.90"
"SO - 0007508","Distributor",3,"WARE-UHY1004",4,"18/06/20","24/10/20",128,05/11/20,12,08/11/20,3,"USD",25,12,228,10,4,0.2,"2,073.92","2,693.40"
"SO - 0007522","In-Store",1,"WARE-NMK1003",3,"18/06/20","25/10/20",129,"22/11/20",28,"30/11/20",8,"USD",11,16,105,15,7,0.08,"1,346.50","1,748.70"
"SO - 0007567","Wholesale",4,"WARE-XYS1001",1,"18/06/20","30/10/20",134,03/11/20,4,08/11/20,5,"USD",27,26,55,8,3,0.1,"1,175.45","1,728.60"
"SO - 0002942","In-Store",1,"WARE-PUJ1005",5,04/02/19,"30/04/19",85,"23/05/19",23,"29/05/19",6,"USD",10,17,316,18,1,0.08,"2,217.43","3,959.70"
"SO - 0006352","In-Store",1,"WARE-XYS1001",1,10/03/20,10/06/20,92,"28/06/20",18,04/07/20,6,"USD",3,11,51,46,6,0.08,423.31,783.9
"SO - 000728","Online",2,"WARE-NMK1003",3,10/04/18,12/08/18,124,"23/08/18",11,"29/08/18",6,"USD",17,21,125,30,7,0.08,"1,400.57","1,795.60"
"SO - 0002453","Distributor",3,"WARE-NMK1003",3,"27/10/18","27/02/19",123,06/03/19,7,"14/03/19",8,"USD",25,11,181,21,2,0.15,"3,343.03","5,969.70"
"SO - 0003453","In-Store",1,"WARE-MKL1006",6,04/02/19,"29/06/19",145,"15/07/19",16,"18/07/19",3,"USD",10,10,340,46,7,0.1,"2,115.19","2,579.50"
"SO - 0006524","In-Store",1,"WARE-NMK1003",3,10/03/20,01/07/20,113,"14/07/20",13,"19/07/20",5,"USD",7,9,200,39,7,0.05,128.24,221.1
"SO - 0005457","Online",2,"WARE-NBV1002",2,01/12/19,"24/02/20",85,06/03/20,11,11/03/20,5,"USD",13,40,67,35,3,0.05,"1,393.94","2,445.50"
"SO - 0006879","In-Store",1,"WARE-UHY1004",4,"18/06/20",11/08/20,54,02/09/20,22,08/09/20,6,"USD",9,33,210,25,6,0.3,626.58,"1,118.90"
"SO - 0003775","Online",2,"WARE-XYS1001",1,"15/05/19",06/08/19,83,03/09/19,28,05/09/19,2,"USD",17,5,1,16,7,0.05,598.18,"1,246.20"
"SO - 0004118","In-Store",1,"WARE-NMK1003",3,"15/05/19","19/09/19",127,"24/09/19",5,"28/09/19",4,"USD",1,12,167,7,4,0.2,575.66,"1,199.30"
"SO - 0006844","Online",2,"WARE-NBV1002",2,10/03/20,07/08/20,150,"23/08/20",16,01/09/20,9,"USD",14,48,82,5,6,0.1,116.71,174.2
"SO - 0007790","In-Store",1,"WARE-UHY1004",4,"26/09/20","23/11/20",58,10/12/20,17,"18/12/20",8,"USD",6,44,225,17,8,0.08,"3,227.26","5,976.40"
"SO - 0003203","In-Store",1,"WARE-NMK1003",3,04/02/19,"29/05/19",114,"26/06/19",28,"27/06/19",1,"USD",12,35,133,29,4,0.05,"2,533.54","3,423.70"
"SO - 0003735","In-Store",1,"WARE-NMK1003",3,04/02/19,02/08/19,179,"13/08/19",11,"21/08/19",8,"USD",12,29,118,43,8,0.08,584.31,"1,025.10"
"SO - 0004182","In-Store",1,"WARE-MKL1006",6,"15/05/19","26/09/19",134,"16/10/19",20,"25/10/19",9,"USD",4,2,360,7,8,0.08,"2,626.67","3,979.80"
"SO - 0007009","Distributor",3,"WARE-NMK1003",3,10/03/20,"27/08/20",170,06/09/20,10,"16/09/20",10,"USD",22,34,150,27,1,0.15,"3,213.59","3,825.70"
"SO - 0008033","Online",2,"WARE-XYS1001",1,"26/09/20","24/12/20",89,"31/12/20",7,06/01/21,6,"USD",16,18,52,19,4,0.05,"2,063.13","3,892.70"
"SO - 0008076","Online",2,"WARE-XYS1001",1,"26/09/20","28/12/20",93,11/01/21,14,"15/01/21",4,"USD",14,46,11,12,1,0.1,672.14,"1,018.40"
"SO - 000939","Distributor",3,"WARE-UHY1004",4,10/04/18,06/09/18,149,03/10/18,27,10/10/18,7,"USD",25,37,222,35,4,0.08,783.9,"1,005.00"
"SO - 0001863","Online",2,"WARE-PUJ1005",5,"27/10/18","25/12/18",59,12/01/19,18,"18/01/19",6,"USD",19,20,286,1,3,0.05,"4,159.90","5,333.20"
"SO - 0004442","In-Store",1,"WARE-UHY1004",4,"23/08/19","30/10/19",68,"25/11/19",26,"28/11/19",3,"USD",7,50,249,29,5,0.05,"2,021.73","2,378.50"
"SO - 0002576","Wholesale",4,"WARE-NMK1003",3,04/02/19,"17/03/19",41,"31/03/19",14,03/04/19,3,"USD",27,29,125,46,2,0.08,"1,452.63","1,989.90"
"SO - 0004998","In-Store",1,"WARE-NMK1003",3,"23/08/19",05/01/20,135,12/01/20,7,"17/01/20",5,"USD",3,47,96,16,6,0.08,"2,007.99","2,479.00"
"SO - 0007431","Distributor",3,"WARE-NMK1003",3,"18/06/20","15/10/20",119,"20/10/20",5,"24/10/20",4,"USD",21,20,95,44,1,0.15,551.54,984.9
"SO - 0005500","Wholesale",4,"WARE-MKL1006",6,01/12/19,"29/02/20",90,02/03/20,2,04/03/20,2,"USD",25,46,364,28,4,0.3,516.84,891.1
"SO - 0005335","Distributor",3,"WARE-NBV1002",2,01/12/19,12/02/20,73,"14/02/20",2,"16/02/20",2,"USD",21,17,63,9,6,0.08,"2,969.84","4,013.30"
"SO - 0001197","Wholesale",4,"WARE-PUJ1005",5,"19/07/18",07/10/18,80,"25/10/18",18,03/11/18,9,"USD",26,6,303,42,4,0.15,"3,292.38","6,331.50"
"SO - 0002317","In-Store",1,"WARE-PUJ1005",5,"27/10/18",11/02/19,107,"13/02/19",2,"19/02/19",6,"USD",5,31,306,36,3,0.08,"2,537.42","5,286.30"
"SO - 0007351","In-Store",1,"WARE-PUJ1005",5,"18/06/20",05/10/20,109,"18/10/20",13,"24/10/20",6,"USD",10,36,328,28,7,0.05,"1,011.97","1,715.20"
"SO - 0007717","In-Store",1,"WARE-UHY1004",4,"26/09/20","16/11/20",51,07/12/20,21,"13/12/20",6,"USD",6,1,240,41,4,0.3,703.1,"1,065.30"
"SO - 0005775","In-Store",1,"WARE-NMK1003",3,01/12/19,03/04/20,124,"20/04/20",17,"30/04/20",10,"USD",8,41,168,31,7,0.3,"1,553.60","2,505.80"
"SO - 0007948","In-Store",1,"WARE-UHY1004",4,"26/09/20","14/12/20",79,"17/12/20",3,"20/12/20",3,"USD",10,20,235,23,3,0.08,743.7,"1,005.00"
"SO - 000989","Distributor",3,"WARE-PUJ1005",5,10/04/18,12/09/18,155,"21/09/18",9,"27/09/18",6,"USD",23,12,268,19,2,0.3,623.1,"1,005.00"
"SO - 0002469","Online",2,"WARE-XYS1001",1,"27/10/18",01/03/19,125,10/03/19,9,"20/03/19",10,"USD",16,13,32,29,5,0.08,947.92,"1,755.40"
"SO - 0002733","Wholesale",4,"WARE-NMK1003",3,"27/10/18",06/04/19,161,10/04/19,4,"15/04/19",5,"USD",25,25,130,19,2,0.08,"1,143.89","1,815.70"
"SO - 0003101","Distributor",3,"WARE-UHY1004",4,04/02/19,"19/05/19",104,"16/06/19",28,"24/06/19",8,"USD",24,22,218,11,5,0.08,"1,090.76","2,479.00"
"SO - 0004855","Distributor",3,"WARE-NBV1002",2,"23/08/19","18/12/19",117,10/01/20,23,"15/01/20",5,"USD",21,17,66,35,6,0.08,"1,250.76","2,405.30"
"SO - 0007985","In-Store",1,"WARE-XYS1001",1,"26/09/20","18/12/20",83,"22/12/20",4,"24/12/20",2,"USD",11,7,16,37,7,0.05,"3,946.03","5,480.60"
"SO - 0001606","In-Store",1,"WARE-PUJ1005",5,"19/07/18","26/11/18",130,"23/12/18",27,"25/12/18",2,"USD",3,10,312,27,6,0.05,166.16,268
"SO - 0004392","Online",2,"WARE-MKL1006",6,"23/08/19","24/10/19",62,"16/11/19",23,"22/11/19",6,"USD",18,34,335,10,1,0.4,"2,595.92","6,331.50"
"SO - 0005724","Distributor",3,"WARE-NMK1003",3,01/12/19,"29/03/20",119,"20/04/20",22,"21/04/20",1,"USD",25,43,157,30,5,0.1,365.15,730.3
"SO - 0004622","In-Store",1,"WARE-UHY1004",4,"23/08/19","20/11/19",89,"18/12/19",28,"22/12/19",4,"USD",5,6,227,28,6,0.2,146.33,187.6
"SO - 0005813","Distributor",3,"WARE-XYS1001",1,01/12/19,07/04/20,128,"29/04/20",22,07/05/20,8,"USD",21,41,3,42,1,0.2,"2,329.59","3,819.00"
"SO - 0007102","Online",2,"WARE-PUJ1005",5,10/03/20,07/09/20,181,04/10/20,27,"13/10/20",9,"USD",18,20,268,45,4,0.1,135.07,241.2
"SO - 0004916","Wholesale",4,"WARE-NMK1003",3,"23/08/19","26/12/19",125,"13/01/20",18,"21/01/20",8,"USD",25,17,90,2,5,0.08,961.85,"1,299.80"
"SO - 0002897","In-Store",1,"WARE-UHY1004",4,"27/10/18","25/04/19",180,"23/05/19",28,"26/05/19",3,"USD",7,7,260,2,3,0.08,456,"1,112.20"
"SO - 0001400","Online",2,"WARE-MKL1006",6,"19/07/18",02/11/18,106,"26/11/18",24,"27/11/18",1,"USD",17,48,363,38,8,0.1,"2,844.69","4,006.60"
"SO - 0001459","Wholesale",4,"WARE-PUJ1005",5,"19/07/18",09/11/18,113,12/11/18,3,"22/11/18",10,"USD",28,35,321,26,6,0.05,596.7,978.2
"SO - 0004614","Online",2,"WARE-PUJ1005",5,"15/05/19","19/11/19",188,03/12/19,14,08/12/19,5,"USD",13,12,309,32,7,0.1,616.67,"1,045.20"
"SO - 0006424","Online",2,"WARE-PUJ1005",5,10/03/20,"19/06/20",101,"24/06/20",5,04/07/20,10,"USD",14,2,275,13,6,0.05,"2,754.44","5,621.30"
"SO - 0004114","Online",2,"WARE-NMK1003",3,"15/05/19","18/09/19",126,12/10/19,24,"19/10/19",7,"USD",14,35,115,47,6,0.08,862.76,"1,092.10"
"SO - 0007581","Distributor",3,"WARE-UHY1004",4,"18/06/20","31/10/20",135,10/11/20,10,"14/11/20",4,"USD",24,24,229,31,1,0.1,438.85,877.7
"SO - 000288","Online",2,"WARE-XYS1001",1,10/04/18,"22/06/18",73,12/07/18,20,"21/07/18",9,"USD",15,19,48,27,2,0.05,"1,190.32","1,889.40"
"SO - 0001106","Online",2,"WARE-MKL1006",6,10/04/18,"25/09/18",168,12/10/18,17,"18/10/18",6,"USD",12,43,362,11,6,0.08,485.42,"1,078.70"
"SO - 0001572","In-Store",1,"WARE-NMK1003",3,"19/07/18","22/11/18",126,10/12/18,18,"20/12/18",10,"USD",11,19,125,46,6,0.3,928.02,"1,145.70"
"SO - 0002973","Wholesale",4,"WARE-UHY1004",4,04/02/19,04/05/19,89,"15/05/19",11,"16/05/19",1,"USD",28,50,250,12,1,0.2,369.84,924.6
"SO - 0006277","Wholesale",4,"WARE-XYS1001",1,10/03/20,01/06/20,83,"28/06/20",27,06/07/20,8,"USD",27,8,53,19,2,0.3,795.96,"1,105.50"
"SO - 0008018","Online",2,"WARE-NMK1003",3,"26/09/20","22/12/20",87,"31/12/20",9,07/01/21,7,"USD",18,1,162,29,3,0.15,495.8,991.6
"SO - 000701","In-Store",1,"WARE-PUJ1005",5,10/04/18,09/08/18,121,"14/08/18",5,"19/08/18",5,"USD",7,25,303,2,3,0.2,664.37,897.8
"SO - 0003090","In-Store",1,"WARE-MKL1006",6,04/02/19,"16/05/19",101,09/06/19,24,"15/06/19",6,"USD",7,25,348,33,3,0.15,"1,617.98","3,946.30"
"SO - 0004707","Online",2,"WARE-XYS1001",1,"23/08/19","30/11/19",99,09/12/19,9,"18/12/19",9,"USD",20,11,14,44,3,0.08,"2,890.78","6,150.60"
"SO - 0005487","Distributor",3,"WARE-UHY1004",4,01/12/19,"27/02/20",88,11/03/20,13,"18/03/20",7,"USD",25,26,225,46,8,0.15,145.79,214.4
"SO - 0005557","Online",2,"WARE-NMK1003",3,01/12/19,07/03/20,97,"21/03/20",14,"26/03/20",5,"USD",14,30,140,44,5,0.05,163.61,247.9
"SO - 0005812","Online",2,"WARE-PUJ1005",5,01/12/19,07/04/20,128,09/04/20,2,"17/04/20",8,"USD",16,50,299,20,7,0.1,"3,207.36","3,959.70"
"SO - 0006268","Online",2,"WARE-NMK1003",3,01/12/19,"31/05/20",182,"21/06/20",21,"27/06/20",6,"USD",19,15,106,23,4,0.08,"2,887.16","3,798.90"
"SO - 0007687","In-Store",1,"WARE-XYS1001",1,"18/06/20","13/11/20",148,"27/11/20",14,"28/11/20",1,"USD",9,33,50,18,3,0.05,"1,799.89","3,912.80"
"SO - 000453","Online",2,"WARE-NMK1003",3,10/04/18,12/07/18,93,"20/07/18",8,"25/07/18",5,"USD",13,21,103,30,4,0.15,109.75,261.3
"SO - 000734","Distributor",3,"WARE-PUJ1005",5,10/04/18,"13/08/18",125,"25/08/18",12,02/09/18,8,"USD",23,2,275,4,3,0.15,"1,515.54","2,331.60"
"SO - 0002442","In-Store",1,"WARE-XYS1001",1,"27/10/18","26/02/19",122,"22/03/19",24,"28/03/19",6,"USD",8,18,20,9,7,0.2,802.12,"1,098.80"
"SO - 0005840","Online",2,"WARE-XYS1001",1,01/12/19,10/04/20,131,04/05/20,24,"13/05/20",9,"USD",12,33,33,29,7,0.08,"3,196.50","3,946.30"
"SO - 000974","In-Store",1,"WARE-MKL1006",6,10/04/18,10/09/18,153,"21/09/18",11,01/10/18,10,"USD",7,3,361,26,5,0.2,890.83,"1,855.90"
"SO - 000486","Online",2,"WARE-UHY1004",4,10/04/18,"16/07/18",97,"21/07/18",5,"25/07/18",4,"USD",15,23,214,14,5,0.1,"2,711.29","5,768.70"
"SO - 0003178","In-Store",1,"WARE-XYS1001",1,04/02/19,"27/05/19",112,11/06/19,15,"18/06/19",7,"USD",5,38,6,31,2,0.1,346.39,737
"SO - 0004413","Online",2,"WARE-NMK1003",3,"15/05/19","26/10/19",164,"23/11/19",28,01/12/19,8,"USD",18,24,129,6,2,0.08,"2,398.60","5,996.50"
"SO - 0006652","Online",2,"WARE-NBV1002",2,10/03/20,"15/07/20",127,11/08/20,27,"16/08/20",5,"USD",16,25,74,5,8,0.15,899.81,"1,058.60"
"SO - 0007013","Online",2,"WARE-NMK1003",3,10/03/20,"27/08/20",170,07/09/20,11,"15/09/20",8,"USD",12,35,116,47,7,0.05,619.48,897.8
"SO - 0004824","Online",2,"WARE-NMK1003",3,"23/08/19","15/12/19",114,"31/12/19",16,06/01/20,6,"USD",18,14,105,24,4,0.05,"1,332.63","2,613.00"
"SO - 000614","In-Store",1,"WARE-NMK1003",3,10/04/18,"31/07/18",112,"19/08/18",19,"25/08/18",6,"USD",12,3,196,1,7,0.08,"3,316.57","5,621.30"
"SO - 0004741","In-Store",1,"WARE-UHY1004",4,"23/08/19",04/12/19,103,"14/12/19",10,"22/12/19",8,"USD",12,13,243,6,2,0.05,732.58,951.4
"SO - 0004634","In-Store",1,"WARE-NMK1003",3,"23/08/19","22/11/19",91,"20/12/19",28,"26/12/19",6,"USD",1,26,132,27,3,0.05,80.67,187.6
"SO - 0005908","In-Store",1,"WARE-XYS1001",1,01/12/19,"20/04/20",141,"27/04/20",7,07/05/20,10,"USD",9,14,25,28,3,0.4,"2,409.32","3,886.00"
"SO - 0002495","Distributor",3,"WARE-NMK1003",3,"27/10/18",07/03/19,131,03/04/19,27,08/04/19,5,"USD",22,39,106,16,6,0.05,980.48,"1,815.70"
"SO - 0007546","Online",2,"WARE-NBV1002",2,"18/06/20","28/10/20",132,"22/11/20",25,02/12/20,10,"USD",13,43,77,21,2,0.05,"1,927.19","2,834.10"
"SO - 0001371","Distributor",3,"WARE-UHY1004",4,"19/07/18","31/10/18",104,06/11/18,6,10/11/18,4,"USD",22,36,208,21,3,0.1,670.34,971.5
"SO - 0002003","Distributor",3,"WARE-UHY1004",4,"19/07/18",06/01/19,171,08/01/19,2,11/01/19,3,"USD",20,4,224,16,1,0.08,86.83,180.9
"SO - 0005826","In-Store",1,"WARE-PUJ1005",5,01/12/19,09/04/20,130,12/04/20,3,"13/04/20",1,"USD",5,31,267,22,1,0.08,114.24,207.7
"SO - 0001619","Wholesale",4,"WARE-NMK1003",3,"19/07/18","28/11/18",132,"24/12/18",26,02/01/19,9,"USD",25,20,174,33,8,0.08,"2,706.26","3,979.80"
"SO - 0001186","Online",2,"WARE-NMK1003",3,"19/07/18",05/10/18,78,"17/10/18",12,"25/10/18",8,"USD",14,14,201,35,6,0.2,154.77,221.1
"SO - 0006614","Online",2,"WARE-MKL1006",6,10/03/20,11/07/20,123,"30/07/20",19,07/08/20,8,"USD",17,32,360,17,6,0.05,497.54,"1,058.60"
"SO - 0008058","Online",2,"WARE-NMK1003",3,"26/09/20","27/12/20",92,08/01/21,12,"13/01/21",5,"USD",15,16,181,38,4,0.1,"3,557.70","5,929.50"
"SO - 0001729","In-Store",1,"WARE-NMK1003",3,"19/07/18",11/12/18,145,"30/12/18",19,05/01/19,6,"USD",2,33,202,37,2,0.05,479.39,904.5
"SO - 0004735","Wholesale",4,"WARE-PUJ1005",5,"23/08/19",03/12/19,102,06/12/19,3,11/12/19,5,"USD",25,29,296,23,8,0.08,"1,911.91","2,331.60"
"SO - 000387","Distributor",3,"WARE-NMK1003",3,10/04/18,04/07/18,85,07/07/18,3,"16/07/18",9,"USD",21,31,190,29,3,0.1,"1,620.73","1,976.50"
"SO - 000515","In-Store",1,"WARE-NMK1003",3,10/04/18,"19/07/18",100,"24/07/18",5,03/08/18,10,"USD",3,6,106,46,5,0.1,"4,483.91","5,748.60"
"SO - 0001475","Online",2,"WARE-XYS1001",1,"19/07/18",11/11/18,115,"28/11/18",17,07/12/18,9,"USD",18,16,15,6,5,0.15,725.95,"1,319.90"
"SO - 0004286","In-Store",1,"WARE-MKL1006",6,"23/08/19",09/10/19,47,01/11/19,23,10/11/19,9,"USD",5,4,361,10,2,0.05,488.63,958.1
"SO - 0006775","In-Store",1,"WARE-NBV1002",2,10/03/20,"29/07/20",141,"26/08/20",28,"29/08/20",3,"USD",7,14,86,7,1,0.1,"4,174.64","5,641.40"
"SO - 0003213","Distributor",3,"WARE-NMK1003",3,04/02/19,"30/05/19",115,"13/06/19",14,"22/06/19",9,"USD",25,13,120,9,4,0.05,349.54,743.7
"SO - 000960","Distributor",3,"WARE-UHY1004",4,10/04/18,08/09/18,151,04/10/18,26,11/10/18,7,"USD",21,13,219,26,3,0.2,"1,909.50","3,819.00"
"SO - 0007030","Distributor",3,"WARE-PUJ1005",5,10/03/20,"29/08/20",172,"20/09/20",22,"26/09/20",6,"USD",24,48,309,18,6,0.3,"1,485.79","2,653.20"
"SO - 0002335","Online",2,"WARE-UHY1004",4,"27/10/18","13/02/19",109,"19/02/19",6,"24/02/19",5,"USD",15,50,210,4,1,0.08,"1,088.08","1,943.00"
"SO - 0004710","In-Store",1,"WARE-PUJ1005",5,"23/08/19","30/11/19",99,07/12/19,7,"16/12/19",9,"USD",2,35,283,46,7,0.08,"1,543.68","1,929.60"
"SO - 0001454","In-Store",1,"WARE-NMK1003",3,"19/07/18",09/11/18,113,"30/11/18",21,07/12/18,7,"USD",4,29,140,41,4,0.08,"1,338.66","1,809.00"
"SO - 0003791","In-Store",1,"WARE-NMK1003",3,"15/05/19",08/08/19,85,"21/08/19",13,"27/08/19",6,"USD",1,8,137,3,4,0.2,814.05,"1,005.00"
"SO - 000521","Online",2,"WARE-XYS1001",1,10/04/18,"20/07/18",101,"13/08/18",24,"22/08/18",9,"USD",13,41,4,12,4,0.1,"1,102.02","1,721.90"
"SO - 0003243","In-Store",1,"WARE-NMK1003",3,04/02/19,02/06/19,118,"22/06/19",20,"30/06/19",8,"USD",12,2,108,39,2,0.08,368.5,837.5
"SO - 0006573","Distributor",3,"WARE-NMK1003",3,10/03/20,06/07/20,118,"16/07/20",10,"26/07/20",10,"USD",25,10,95,37,4,0.15,"3,236.10","3,852.50"
"SO - 000621","In-Store",1,"WARE-NMK1003",3,10/04/18,"31/07/18",112,"28/08/18",28,04/09/18,7,"USD",7,17,155,4,1,0.05,"2,842.94","3,644.80"
"SO - 0001109","Distributor",3,"WARE-NMK1003",3,"19/07/18","26/09/18",69,"22/10/18",26,"31/10/18",9,"USD",24,12,114,47,4,0.05,120.73,227.8
"SO - 0001170","In-Store",1,"WARE-UHY1004",4,"19/07/18",03/10/18,76,"26/10/18",23,01/11/18,6,"USD",10,34,228,27,8,0.05,"2,055.76","3,370.10"
"SO - 0001779","Distributor",3,"WARE-UHY1004",4,"19/07/18","17/12/18",151,06/01/19,20,11/01/19,5,"USD",25,29,242,39,1,0.1,557.51,"1,051.90"
"SO - 0001873","Online",2,"WARE-NMK1003",3,"19/07/18","26/12/18",160,"21/01/19",26,"26/01/19",5,"USD",16,30,130,30,5,0.08,"3,331.78","3,966.40"
"SO - 0002320","In-Store",1,"WARE-PUJ1005",5,"27/10/18",11/02/19,107,07/03/19,24,"13/03/19",6,"USD",5,44,272,40,5,0.08,96.48,241.2
"SO - 0002353","Online",2,"WARE-UHY1004",4,"27/10/18","16/02/19",112,05/03/19,17,11/03/19,6,"USD",19,3,225,37,6,0.08,"1,731.95","3,149.00"
"SO - 0003887","In-Store",1,"WARE-NMK1003",3,"15/05/19","20/08/19",97,06/09/19,17,10/09/19,4,"USD",2,36,166,42,4,0.1,728.96,911.2
"SO - 0004066","Online",2,"WARE-NMK1003",3,"15/05/19",12/09/19,120,08/10/19,26,"16/10/19",8,"USD",19,50,89,23,7,0.15,"1,758.75","2,345.00"
"SO - 0002104","In-Store",1,"WARE-UHY1004",4,"27/10/18","17/01/19",82,"31/01/19",14,06/02/19,6,"USD",4,35,217,42,2,0.1,"2,125.24","5,313.10"
"SO - 0004697","In-Store",1,"WARE-XYS1001",1,"23/08/19","29/11/19",98,"26/12/19",27,"31/12/19",5,"USD",3,24,33,16,4,0.3,"1,331.63","2,512.50"
"SO - 000531","In-Store",1,"WARE-XYS1001",1,10/04/18,"21/07/18",102,"13/08/18",23,"18/08/18",5,"USD",4,33,11,41,1,0.05,"2,291.40","4,020.00"
"SO - 0003578","In-Store",1,"WARE-NMK1003",3,04/02/19,"15/07/19",161,"19/07/19",4,"20/07/19",1,"USD",10,25,170,37,5,0.08,122.41,194.3
"SO - 000665","Online",2,"WARE-UHY1004",4,10/04/18,05/08/18,117,"23/08/18",18,"27/08/18",4,"USD",18,33,208,2,6,0.4,434.83,790.6
"SO - 0001432","In-Store",1,"WARE-PUJ1005",5,"19/07/18",07/11/18,111,"30/11/18",23,01/12/18,1,"USD",11,38,285,24,6,0.1,"2,464.53","3,242.80"
"SO - 0003294","Wholesale",4,"WARE-XYS1001",1,04/02/19,08/06/19,124,"14/06/19",6,"16/06/19",2,"USD",26,6,54,14,1,0.4,164.15,234.5
"SO - 0002160","Online",2,"WARE-PUJ1005",5,"27/10/18","23/01/19",88,12/02/19,20,"15/02/19",3,"USD",15,47,278,5,1,0.05,"3,626.04","5,494.00"
"SO - 0003780","Wholesale",4,"WARE-UHY1004",4,"15/05/19",06/08/19,83,"15/08/19",9,"19/08/19",4,"USD",26,41,242,19,5,0.08,"1,907.49","2,613.00"
"SO - 0003526","Wholesale",4,"WARE-NBV1002",2,"15/05/19",07/07/19,53,"21/07/19",14,"26/07/19",5,"USD",27,28,86,47,5,0.1,544.78,"1,159.10"
"SO - 0006954","Online",2,"WARE-XYS1001",1,10/03/20,"20/08/20",163,08/09/20,19,"16/09/20",8,"USD",18,39,18,2,8,0.2,777.87,"1,809.00"
"SO - 000199","In-Store",1,"WARE-XYS1001",1,10/04/18,12/06/18,63,05/07/18,23,"14/07/18",9,"USD",4,47,23,47,4,0.05,855.46,"1,018.40"
"SO - 0004071","Online",2,"WARE-NMK1003",3,"15/05/19","13/09/19",121,"20/09/19",7,"25/09/19",5,"USD",18,27,175,26,6,0.05,"1,043.86","1,273.00"
"SO - 0005172","Online",2,"WARE-NBV1002",2,"23/08/19","22/01/20",152,02/02/20,11,03/02/20,1,"USD",17,5,81,37,4,0.05,157.85,207.7
"SO - 0005749","In-Store",1,"WARE-NMK1003",3,01/12/19,01/04/20,122,"29/04/20",28,"30/04/20",1,"USD",1,34,131,43,4,0.05,651.78,857.6
"SO - 0007315","Online",2,"WARE-PUJ1005",5,"18/06/20",02/10/20,106,"23/10/20",21,"27/10/20",4,"USD",20,32,323,25,7,0.05,610.64,"1,246.20"
"SO - 0001796","Online",2,"WARE-UHY1004",4,"19/07/18","19/12/18",153,"26/12/18",7,"28/12/18",2,"USD",18,13,211,31,7,0.1,790.4,"1,681.70"
"SO - 0005216","Distributor",3,"WARE-XYS1001",1,01/12/19,"28/01/20",58,"14/02/20",17,"23/02/20",9,"USD",25,10,49,5,8,0.08,"2,569.45","3,953.00"
"SO - 0002464","In-Store",1,"WARE-MKL1006",6,"27/10/18",01/03/19,125,"16/03/19",15,"20/03/19",4,"USD",4,21,333,38,7,0.1,"2,372.20","3,765.40"
